transaction_id,round_number,customer_id,promotion_shown,discount_rate,conversion,basket_size,base_price,price_charged,cost,contribution_profit,order_method,dine_in_takeout,time_of_day,day_of_week,is_finals_week,customer_type,loyalty_membership,weather,queue_length,repeat_visit_this_week,promotion_response_time
TXN_00001,1,CUST_02796,discount_15,0.15,1,2,12.21,10.37,6.19,4.18,app,mobile_pickup,afternoon,Fri,0,returning,0,rainy,medium,0,0.8
TXN_00002,2,CUST_01385,discount_5,0.05,0,0,0.0,0.0,0.0,0.0,app,mobile_pickup,evening,Thu,0,loyalty_member,1,sunny,medium,3,4.3
TXN_00003,3,CUST_00177,discount_10,0.1,0,0,0.0,0.0,0.0,0.0,app,mobile_pickup,afternoon,Tue,0,returning,0,cloudy,medium,6,1.4
TXN_00004,4,CUST_01668,discount_15,0.15,1,1,6.87,5.84,3.62,2.22,kiosk,takeout,morning,Sun,0,new,0,cloudy,short,1,4.0
TXN_00005,5,CUST_00340,discount_5,0.05,1,3,19.23,18.26,10.52,7.74,counter,takeout,morning,Mon,1,loyalty_member,1,sunny,short,7,8.0
TXN_00006,6,CUST_00688,discount_10,0.1,1,1,7.19,6.47,3.59,2.88,kiosk,takeout,evening,Fri,0,loyalty_member,1,rainy,short,7,3.5
TXN_00007,7,CUST_00928,bundle,0.12,0,0,0.0,0.0,0.0,0.0,counter,takeout,afternoon,Fri,0,loyalty_member,1,cloudy,short,4,5.1
TXN_00008,8,CUST_02046,discount_5,0.05,0,0,0.0,0.0,0.0,0.0,kiosk,takeout,evening,Sun,0,new,0,sunny,short,2,2.5
TXN_00009,9,CUST_00521,bundle,0.12,0,0,0.0,0.0,0.0,0.0,kiosk,dine_in,afternoon,Sat,0,loyalty_member,1,cloudy,short,1,4.6
TXN_00010,10,CUST_00465,bundle,0.12,0,0,0.0,0.0,0.0,0.0,app,mobile_pickup,morning,Mon,0,returning,0,cloudy,short,4,4.3
TXN_00011,11,CUST_00131,discount_5,0.05,0,0,0.0,0.0,0.0,0.0,app,mobile_pickup,afternoon,Sun,0,new,0,sunny,medium,0,8.6
TXN_00012,12,CUST_02452,discount_10,0.1,1,1,5.64,5.07,2.64,2.43,app,mobile_pickup,afternoon,Mon,0,returning,0,rainy,short,3,2.2
TXN_00013,13,CUST_01943,discount_5,0.05,0,0,0.0,0.0,0.0,0.0,app,mobile_pickup,afternoon,Thu,0,returning,0,cloudy,medium,4,12.7
TXN_00014,14,CUST_00115,bundle,0.12,0,0,0.0,0.0,0.0,0.0,app,dine_in,morning,Mon,1,new,0,cloudy,medium,1,1.7
TXN_00015,15,CUST_00080,discount_5,0.05,1,1,4.38,4.16,2.23,1.93,kiosk,dine_in,morning,Wed,1,loyalty_member,1,cloudy,medium,3,4.0
TXN_00016,16,CUST_01567,no_discount,0.0,0,0,0.0,0.0,0.0,0.0,counter,dine_in,afternoon,Sat,0,new,0,sunny,medium,0,3.8
TXN_00017,17,CUST_00798,no_discount,0.0,0,0,0.0,0.0,0.0,0.0,app,mobile_pickup,afternoon,Sun,0,new,0,cloudy,short,1,2.5
TXN_00018,18,CUST_01670,discount_10,0.1,1,1,4.42,3.98,2.26,1.72,kiosk,takeout,morning,Wed,0,loyalty_member,1,sunny,medium,4,1.6
TXN_00019,19,CUST_01222,bundle,0.12,0,0,0.0,0.0,0.0,0.0,counter,takeout,afternoon,Wed,0,new,0,rainy,short,0,7.8
TXN_00020,20,CUST_02596,no_discount,0.0,0,0,0.0,0.0,0.0,0.0,kiosk,mobile_pickup,afternoon,Sat,0,loyalty_member,1,rainy,medium,2,7.4
TXN_00021,21,CUST_00814,bundle,0.12,0,0,0.0,0.0,0.0,0.0,app,mobile_pickup,afternoon,Thu,0,returning,0,cloudy,medium,6,3.7
TXN_00022,22,CUST_01897,no_discount,0.0,0,0,0.0,0.0,0.0,0.0,app,mobile_pickup,morning,Sun,0,returning,0,sunny,short,2,4.2
TXN_00023,23,CUST_00157,bundle,0.12,1,3,17.8,10.44,6.26,4.18,kiosk,mobile_pickup,evening,Wed,0,new,0,cloudy,medium,1,2.3
TXN_00024,24,CUST_02681,bundle,0.12,0,0,0.0,0.0,0.0,0.0,app,dine_in,morning,Tue,0,loyalty_member,1,rainy,medium,5,1.5
TXN_00025,25,CUST_02750,discount_10,0.1,1,2,11.72,10.55,5.98,4.57,counter,dine_in,morning,Thu,1,new,0,sunny,short,2,6.5
TXN_00026,26,CUST_02069,no_discount,0.0,0,0,0.0,0.0,0.0,0.0,counter,mobile_pickup,morning,Thu,0,new,0,sunny,short,0,5.4
TXN_00027,27,CUST_01310,discount_5,0.05,1,1,7.02,6.67,3.74,2.93,kiosk,dine_in,morning,Sat,0,loyalty_member,1,sunny,short,4,6.8
TXN_00028,28,CUST_00621,discount_10,0.1,1,2,9.04,8.13,5.01,3.12,app,takeout,afternoon,Mon,0,loyalty_member,1,sunny,medium,7,2.6
TXN_00029,29,CUST_02275,discount_10,0.1,1,2,11.73,10.56,5.62,4.94,app,takeout,morning,Mon,0,loyalty_member,1,sunny,medium,1,0.7
TXN_00030,30,CUST_02061,discount_15,0.15,1,2,11.05,9.39,5.68,3.71,counter,takeout,morning,Tue,0,loyalty_member,1,sunny,short,3,3.1
TXN_00031,31,CUST_00625,bundle,0.12,1,3,16.47,9.99,6.43,3.56,kiosk,takeout,morning,Fri,0,loyalty_member,1,sunny,long,6,8.2
TXN_00032,32,CUST_01269,discount_10,0.1,1,1,4.56,4.1,2.23,1.87,app,dine_in,morning,Wed,1,returning,0,cloudy,short,2,1.6
TXN_00033,33,CUST_01305,discount_10,0.1,1,1,5.79,5.21,2.65,2.56,app,mobile_pickup,afternoon,Mon,1,loyalty_member,1,cloudy,short,2,2.1
TXN_00034,34,CUST_02316,discount_15,0.15,1,1,4.94,4.2,2.52,1.68,kiosk,dine_in,morning,Sat,0,new,0,sunny,medium,2,2.1
TXN_00035,35,CUST_01912,discount_15,0.15,0,0,0.0,0.0,0.0,0.0,counter,takeout,afternoon,Fri,0,new,0,rainy,medium,2,8.2
TXN_00036,36,CUST_01795,discount_15,0.15,0,0,0.0,0.0,0.0,0.0,app,takeout,evening,Sat,0,loyalty_member,1,rainy,short,3,2.3
TXN_00037,37,CUST_01817,discount_5,0.05,0,0,0.0,0.0,0.0,0.0,kiosk,dine_in,afternoon,Mon,0,loyalty_member,1,sunny,short,4,4.0
TXN_00038,38,CUST_00764,discount_15,0.15,0,0,0.0,0.0,0.0,0.0,counter,takeout,morning,Wed,0,new,0,cloudy,long,1,6.2
TXN_00039,39,CUST_01049,discount_15,0.15,1,3,15.12,12.85,7.85,5.0,counter,takeout,afternoon,Fri,1,loyalty_member,1,rainy,medium,2,4.7
TXN_00040,40,CUST_00132,discount_5,0.05,0,0,0.0,0.0,0.0,0.0,app,mobile_pickup,morning,Mon,0,loyalty_member,1,sunny,short,4,1.5
TXN_00041,41,CUST_02203,discount_5,0.05,1,2,12.64,12.0,6.58,5.42,kiosk,dine_in,morning,Sun,0,loyalty_member,1,sunny,short,5,5.8
TXN_00042,42,CUST_01216,discount_5,0.05,0,0,0.0,0.0,0.0,0.0,counter,dine_in,afternoon,Sun,0,returning,0,cloudy,long,1,7.3
TXN_00043,43,CUST_01232,discount_10,0.1,0,0,0.0,0.0,0.0,0.0,counter,dine_in,morning,Thu,0,returning,0,cloudy,medium,2,5.8
TXN_00044,44,CUST_00689,bundle,0.12,0,0,0.0,0.0,0.0,0.0,kiosk,mobile_pickup,morning,Sun,0,loyalty_member,1,cloudy,medium,3,5.5
TXN_00045,45,CUST_00592,discount_15,0.15,0,0,0.0,0.0,0.0,0.0,counter,takeout,morning,Sun,0,returning,0,sunny,long,1,5.8
TXN_00046,46,CUST_01648,discount_5,0.05,1,1,7.33,6.97,4.22,2.75,app,mobile_pickup,afternoon,Thu,0,loyalty_member,1,cloudy,medium,4,2.7
TXN_00047,47,CUST_00652,discount_10,0.1,1,1,5.07,4.56,2.67,1.89,app,mobile_pickup,morning,Mon,1,loyalty_member,1,rainy,medium,7,1.6
TXN_00048,48,CUST_00182,discount_15,0.15,1,2,9.04,7.68,4.73,2.95,app,mobile_pickup,morning,Mon,0,loyalty_member,1,rainy,medium,2,4.2
TXN_00049,49,CUST_02149,discount_15,0.15,0,0,0.0,0.0,0.0,0.0,kiosk,dine_in,evening,Tue,0,loyalty_member,1,cloudy,short,1,1.0
TXN_00050,50,CUST_01065,bundle,0.12,0,0,0.0,0.0,0.0,0.0,kiosk,dine_in,afternoon,Sat,0,returning,0,rainy,long,3,6.5
TXN_00051,51,CUST_01074,no_discount,0.0,1,3,17.2,17.2,9.16,8.04,app,mobile_pickup,afternoon,Thu,0,loyalty_member,1,cloudy,short,3,1.6
TXN_00052,52,CUST_01211,bundle,0.12,1,2,9.82,8.5,5.41,3.09,counter,takeout,afternoon,Sat,0,loyalty_member,1,sunny,medium,8,13.2
TXN_00053,53,CUST_02283,discount_10,0.1,0,0,0.0,0.0,0.0,0.0,counter,takeout,afternoon,Fri,0,returning,0,cloudy,medium,2,4.8
TXN_00054,54,CUST_00908,bundle,0.12,0,0,0.0,0.0,0.0,0.0,counter,mobile_pickup,afternoon,Sat,0,new,0,rainy,long,1,8.9
TXN_00055,55,CUST_02130,bundle,0.12,1,2,8.52,8.5,5.26,3.24,counter,dine_in,afternoon,Tue,0,new,0,cloudy,medium,1,1.8
